# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13149.04209491	2.04203522	-127.45211900	-2971.79015939	2006.00000000	1.00000000	1.00000000	1.00000000	0.00000000	37.00000000	37.39216700	137.65600000	15.88000000	0.80000000
13149.09769676	2.31256126	-298.72563106	-3305.43031133	2006.00000000	1.00000000	1.00000000	2.00000000	20.00000000	41.00000000	37.43116700	136.60883300	8.18000000	0.60000000
13152.60768519	-0.85521133	284.52690780	2769.15028864	2006.00000000	1.00000000	4.00000000	14.00000000	35.00000000	4.00000000	36.90433300	137.54916700	12.28000000	1.10000000
13154.63571759	-1.05592420	237.54145760	2022.06081647	2006.00000000	1.00000000	6.00000000	15.00000000	15.00000000	26.00000000	37.67316700	137.41616700	11.83000000	2.90000000
13160.30896991	-1.67551608	-210.21176660	8310.77517794	2006.00000000	1.00000000	12.00000000	7.00000000	24.00000000	55.00000000	37.39250000	137.72316700	18.59000000	1.60000000
13161.13885417	3.01069296	-1065.31946560	-2365.94678455	2006.00000000	1.00000000	13.00000000	3.00000000	19.00000000	57.00000000	38.09116700	136.36900000	0.00000000	3.80000000
13165.18797454	2.56563400	-337.63024720	-3494.93702481	2006.00000000	1.00000000	17.00000000	4.00000000	30.00000000	41.00000000	37.47766700	137.43033300	10.41000000	1.50000000
13168.12493056	-1.72787596	-85.36549267	3400.84636159	2006.00000000	1.00000000	20.00000000	2.00000000	59.00000000	54.00000000	37.23900000	137.11033300	15.25000000	0.80000000
13173.53012731	0.20071286	703.86385780	-1656.64982439	2006.00000000	1.00000000	25.00000000	12.00000000	43.00000000	23.00000000	37.64533300	137.30883300	9.01000000	1.10000000
13173.88194444	1.90240888	67.35406620	-3183.16420735	2006.00000000	1.00000000	25.00000000	21.00000000	10.00000000	0.00000000	37.47733300	137.45350000	9.25000000	1.20000000
13178.64871528	0.20943951	512.99062360	-1467.61137570	2006.00000000	1.00000000	30.00000000	15.00000000	34.00000000	9.00000000	37.11633300	137.49200000	16.03000000	1.20000000
13180.07833333	2.19038821	-85.71967608	-1043.77961259	2006.00000000	2.00000000	1.00000000	1.00000000	52.00000000	48.00000000	37.44500000	137.49350000	9.60000000	1.70000000
13181.74524306	1.03847090	219.88446840	-2582.84414460	2006.00000000	2.00000000	2.00000000	17.00000000	53.00000000	9.00000000	37.43850000	136.60300000	6.28000000	1.70000000
13184.58167824	-1.91113553	247.85989440	176.29507204	2006.00000000	2.00000000	5.00000000	13.00000000	57.00000000	37.00000000	38.05750000	136.40800000	0.00000000	2.00000000
13186.45892361	0.24434610	583.01361220	-1700.98051240	2006.00000000	2.00000000	7.00000000	11.00000000	0.00000000	51.00000000	37.70300000	137.39683300	7.59000000	1.20000000
