# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13149.04209491	-1.90240888	-407.24848000	5655.36431885	2006.00000000	1.00000000	1.00000000	1.00000000	0.00000000	37.00000000	37.39216700	137.65600000	15.88000000	0.80000000
13149.09769676	-1.28281700	-97.87093510	5389.85507890	2006.00000000	1.00000000	1.00000000	2.00000000	20.00000000	41.00000000	37.43116700	136.60883300	8.18000000	0.60000000
13152.60768519	-2.68780705	-213.36325200	1697.45688040	2006.00000000	1.00000000	4.00000000	14.00000000	35.00000000	4.00000000	36.90433300	137.54916700	12.28000000	1.10000000
13154.63571759	3.09795942	-543.86277400	-447.01224010	2006.00000000	1.00000000	6.00000000	15.00000000	15.00000000	26.00000000	37.67316700	137.41616700	11.83000000	2.90000000
13160.30896991	-2.91469985	-180.88522600	1769.36280041	2006.00000000	1.00000000	12.00000000	7.00000000	24.00000000	55.00000000	37.39250000	137.72316700	18.59000000	1.60000000
13161.13885417	0.46251225	427.43642400	-2744.61264064	2006.00000000	1.00000000	13.00000000	3.00000000	19.00000000	57.00000000	38.09116700	136.36900000	0.00000000	3.80000000
13165.18797454	-0.46251225	299.07641300	2639.38896061	2006.00000000	1.00000000	17.00000000	4.00000000	30.00000000	41.00000000	37.47766700	137.43033300	10.41000000	1.50000000
13168.12493056	-2.90597320	-150.67949800	1215.81744028	2006.00000000	1.00000000	20.00000000	2.00000000	59.00000000	54.00000000	37.23900000	137.11033300	15.25000000	0.80000000
13173.53012731	0.22689280	806.65374300	-2320.00824054	2006.00000000	1.00000000	25.00000000	12.00000000	43.00000000	23.00000000	37.64533300	137.30883300	9.01000000	1.10000000
13173.88194444	-2.21656815	-883.59986300	8006.83631837	2006.00000000	1.00000000	25.00000000	21.00000000	10.00000000	0.00000000	37.47733300	137.45350000	9.25000000	1.20000000
13178.64871528	-0.04363323	612.45386600	188.41103996	2006.00000000	1.00000000	30.00000000	15.00000000	34.00000000	9.00000000	37.11633300	137.49200000	16.03000000	1.20000000
13180.07833333	-1.78023584	-145.31442000	4368.54863911	2006.00000000	2.00000000	1.00000000	1.00000000	52.00000000	48.00000000	37.44500000	137.49350000	9.60000000	1.70000000
13181.74524306	-0.51487213	307.44671000	1968.84336046	2006.00000000	2.00000000	2.00000000	17.00000000	53.00000000	9.00000000	37.43850000	136.60300000	6.28000000	1.70000000
