# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13149.04209491	2.47836754	245.58800800	-1354.17239972	2006.00000000	1.00000000	1.00000000	1.00000000	0.00000000	37.00000000	37.39216700	137.65600000	15.88000000	0.80000000
13149.09769676	-2.87106662	227.88111000	1180.96247976	2006.00000000	1.00000000	1.00000000	2.00000000	20.00000000	41.00000000	37.43116700	136.60883300	8.18000000	0.60000000
13152.60768519	1.81514242	-247.76815600	-6998.45520163	2006.00000000	1.00000000	4.00000000	14.00000000	35.00000000	4.00000000	36.90433300	137.54916700	12.28000000	1.10000000
13154.63571759	1.11701072	-35.47783940	-1992.64447246	2006.00000000	1.00000000	6.00000000	15.00000000	15.00000000	26.00000000	37.67316700	137.41616700	11.83000000	2.90000000
13160.30896991	0.64577182	711.38887600	-5525.56680129	2006.00000000	1.00000000	12.00000000	7.00000000	24.00000000	55.00000000	37.39250000	137.72316700	18.59000000	1.60000000
13161.13885417	-1.64933614	494.20812300	4498.45560105	2006.00000000	1.00000000	13.00000000	3.00000000	19.00000000	57.00000000	38.09116700	136.36900000	0.00000000	3.80000000
13165.18797454	-2.35619449	123.32564200	2976.10896069	2006.00000000	1.00000000	17.00000000	4.00000000	30.00000000	41.00000000	37.47766700	137.43033300	10.41000000	1.50000000
13168.12493056	1.73660261	113.04389400	-3463.34599281	2006.00000000	1.00000000	20.00000000	2.00000000	59.00000000	54.00000000	37.23900000	137.11033300	15.25000000	0.80000000
13173.53012731	-2.84488668	-979.66768400	2445.17352057	2006.00000000	1.00000000	25.00000000	12.00000000	43.00000000	23.00000000	37.64533300	137.30883300	9.01000000	1.10000000
13173.88194444	1.57079633	305.51345800	-166.02239997	2006.00000000	1.00000000	25.00000000	21.00000000	10.00000000	0.00000000	37.47733300	137.45350000	9.25000000	1.20000000
13178.64871528	-3.04559954	-1296.61429000	1493.51279970	2006.00000000	1.00000000	30.00000000	15.00000000	34.00000000	9.00000000	37.11633300	137.49200000	16.03000000	1.20000000
13180.07833333	1.96349541	1.61363178	-5175.02519415	2006.00000000	2.00000000	1.00000000	1.00000000	52.00000000	48.00000000	37.44500000	137.49350000	9.60000000	1.70000000
13181.74524306	-2.60926723	-474.61541900	3490.02072081	2006.00000000	2.00000000	2.00000000	17.00000000	53.00000000	9.00000000	37.43850000	136.60300000	6.28000000	1.70000000
13184.58167824	-2.18166156	-174.54547400	2078.73624048	2006.00000000	2.00000000	5.00000000	13.00000000	57.00000000	37.00000000	38.05750000	136.40800000	0.00000000	2.00000000
13186.45892361	2.94087979	-825.60398500	-1314.62184031	2006.00000000	2.00000000	7.00000000	11.00000000	0.00000000	51.00000000	37.70300000	137.39683300	7.59000000	1.20000000
13188.75723380	-0.94247780	100.15920400	4918.78055900	2006.00000000	2.00000000	9.00000000	18.00000000	10.00000000	25.00000000	36.97116700	137.01266700	10.90000000	1.10000000
13190.12151620	-1.92858882	310.71432900	4115.64504096	2006.00000000	2.00000000	11.00000000	2.00000000	54.00000000	59.00000000	37.64383300	137.36833300	11.53000000	1.60000000
13195.54306713	1.79768913	-128.97048700	-6493.75031868	2006.00000000	2.00000000	16.00000000	13.00000000	2.00000000	1.00000000	37.68300000	137.40916700	11.83000000	1.10000000
13199.33178241	-3.01941961	-514.98672600	978.68544023	2006.00000000	2.00000000	20.00000000	7.00000000	57.00000000	46.00000000	37.40116700	137.04633300	11.55000000	0.30000000
13200.63369213	-1.92858882	-68.14924960	2334.86863152	2006.00000000	2.00000000	21.00000000	15.00000000	12.00000000	31.00000000	37.23083300	137.05500000	16.75000000	0.70000000
13203.60922454	-2.21656815	-803.88745300	6972.54912162	2006.00000000	2.00000000	24.00000000	14.00000000	37.00000000	17.00000000	37.41766700	136.47033300	0.00000000	1.60000000
13204.21724537	-0.05235988	887.74072700	245.97384006	2006.00000000	2.00000000	25.00000000	5.00000000	12.00000000	50.00000000	37.37283300	137.51250000	0.00000000	1.00000000
13206.75587963	-1.25663706	-17.92360020	9642.76720604	2006.00000000	2.00000000	27.00000000	18.00000000	8.00000000	28.00000000	37.28716700	137.22066700	15.22000000	0.90000000
13211.40230324	-1.07337749	-78.53074100	3945.07768892	2006.00000000	3.00000000	4.00000000	9.00000000	39.00000000	19.00000000	37.56016700	136.78666700	1.25000000	1.20000000
13215.42478009	2.85361333	-719.12147300	-1776.68063964	2006.00000000	3.00000000	8.00000000	10.00000000	11.00000000	41.00000000	37.38933300	136.32766700	3.49000000	1.70000000
13217.21758102	0.16580628	543.23484100	-959.75904022	2006.00000000	3.00000000	10.00000000	5.00000000	13.00000000	19.00000000	37.20983300	137.07316700	12.80000000	0.60000000
13217.66457176	-1.63188285	-258.38650900	6667.45584155	2006.00000000	3.00000000	10.00000000	15.00000000	56.00000000	59.00000000	37.51733300	137.29350000	8.23000000	0.20000000
13220.54432870	2.86233997	-754.26768400	-2473.19568058	2006.00000000	3.00000000	13.00000000	13.00000000	3.00000000	50.00000000	37.43783300	137.47616700	8.61000000	1.70000000
13223.67741898	-2.33874120	-297.05724200	4993.43351898	2006.00000000	3.00000000	16.00000000	16.00000000	15.00000000	29.00000000	37.67150000	137.42450000	12.00000000	1.30000000
13225.12575231	2.77507351	-675.57032800	-3000.42168070	2006.00000000	3.00000000	18.00000000	3.00000000	1.00000000	5.00000000	37.70150000	137.38383300	7.42000000	1.50000000
13225.70685185	-2.25147474	-30.74842490	4253.13072099	2006.00000000	3.00000000	18.00000000	16.00000000	57.00000000	52.00000000	37.28500000	137.18400000	14.55000000	1.00000000
13229.00827546	0.47123890	610.86598300	-2373.79079952	2006.00000000	3.00000000	22.00000000	0.00000000	11.00000000	55.00000000	37.17850000	137.76083300	16.91000000	1.40000000
13230.15288194	1.21300383	251.30265700	-4594.60800107	2006.00000000	3.00000000	23.00000000	3.00000000	40.00000000	9.00000000	37.30200000	137.22666700	5.06000000	0.50000000
13233.03078704	-2.67035376	38.52485310	2161.10652050	2006.00000000	3.00000000	26.00000000	0.00000000	44.00000000	20.00000000	37.01800000	136.89083300	12.85000000	3.90000000
13234.80372685	-0.04363323	668.92774900	612.59351988	2006.00000000	3.00000000	27.00000000	19.00000000	17.00000000	22.00000000	37.40050000	137.34033300	4.06000000	1.30000000
13245.76233796	-0.07853982	397.28755700	401.90880009	2006.00000000	4.00000000	7.00000000	18.00000000	17.00000000	46.00000000	37.69550000	137.36466700	8.52000000	1.30000000
13248.07070602	-2.52200077	-225.39015400	3008.26991939	2006.00000000	4.00000000	10.00000000	1.00000000	41.00000000	49.00000000	37.68050000	137.38766700	12.35000000	1.50000000
13248.45771991	2.38237443	-410.81037600	-4570.19736106	2006.00000000	4.00000000	10.00000000	10.00000000	59.00000000	7.00000000	37.70266700	137.40483300	12.48000000	1.10000000
13257.28712963	-3.03687290	-865.42104400	1220.20920028	2006.00000000	4.00000000	19.00000000	6.00000000	53.00000000	28.00000000	37.40933300	136.91366700	11.54000000	3.20000000
13258.31859954	3.08050613	-824.25799500	-414.92159992	2006.00000000	4.00000000	20.00000000	7.00000000	38.00000000	47.00000000	37.26050000	137.30900000	5.38000000	1.20000000
13261.49466435	-2.76634686	-711.76878500	2872.07880067	2006.00000000	4.00000000	23.00000000	11.00000000	52.00000000	19.00000000	37.59033300	137.15100000	7.06000000	0.70000000
13265.61290509	-2.41728101	-19.77631960	4496.11148068	2006.00000000	4.00000000	27.00000000	14.00000000	42.00000000	35.00000000	37.67516700	137.37050000	14.14000000	1.10000000
13266.90901620	0.89884456	609.14621400	-8595.55367825	2006.00000000	4.00000000	28.00000000	21.00000000	48.00000000	59.00000000	37.61950000	137.12966700	0.00000000	0.80000000
13268.33515046	-1.42244334	-250.58701800	6891.44448160	2006.00000000	4.00000000	30.00000000	8.00000000	2.00000000	37.00000000	37.50883300	137.83416700	19.51000000	1.60000000
13272.05380787	1.08210414	265.39940000	-3695.06015925	2006.00000000	5.00000000	4.00000000	1.00000000	17.00000000	29.00000000	37.13250000	137.44116700	16.30000000	3.90000000
13272.31055556	3.11541271	-660.82087700	-261.26280006	2006.00000000	5.00000000	4.00000000	7.00000000	27.00000000	12.00000000	37.61183300	137.29633300	11.99000000	1.30000000
13274.39998843	3.10668607	-518.20444400	-234.24647995	2006.00000000	5.00000000	6.00000000	9.00000000	35.00000000	59.00000000	37.60900000	137.28166700	11.76000000	0.80000000
13275.72089120	0.00000000	497.16418700	53.49287999	2006.00000000	5.00000000	7.00000000	17.00000000	18.00000000	5.00000000	37.23533300	137.12616700	15.92000000	1.40000000
13276.06398148	-2.11184839	-154.73387600	3054.55536071	2006.00000000	5.00000000	8.00000000	1.00000000	32.00000000	8.00000000	37.70966700	137.38716700	14.94000000	2.00000000
13276.84582176	1.30899694	184.25364400	-5914.62527880	2006.00000000	5.00000000	8.00000000	20.00000000	17.00000000	59.00000000	37.85566700	137.22683300	11.32000000	1.40000000
13277.59899306	-1.69296937	84.47587410	5655.50373732	2006.00000000	5.00000000	9.00000000	14.00000000	22.00000000	33.00000000	37.52900000	137.19550000	6.79000000	0.60000000
13279.56457176	-2.59181394	-47.87153290	2768.70631264	2006.00000000	5.00000000	11.00000000	13.00000000	32.00000000	59.00000000	37.37800000	136.68650000	11.90000000	0.40000000
13280.38078704	0.44505896	369.61728000	-1569.40463968	2006.00000000	5.00000000	12.00000000	9.00000000	8.00000000	20.00000000	37.51983300	137.18666700	2.52000000	1.10000000
13280.49997685	2.56563400	35.36339200	-2017.63732847	2006.00000000	5.00000000	12.00000000	11.00000000	59.00000000	58.00000000	37.52333300	137.20600000	10.27000000	1.10000000
13281.62791667	-2.18166156	232.62791200	4172.80895915	2006.00000000	5.00000000	13.00000000	15.00000000	4.00000000	12.00000000	37.70666700	137.39233300	13.66000000	1.70000000
13283.88464120	0.39269908	890.77585100	-3265.49063933	2006.00000000	5.00000000	15.00000000	21.00000000	13.00000000	53.00000000	37.69566700	137.40116700	12.09000000	0.90000000
13285.28971065	-2.79252680	-888.67941800	4841.86679901	2006.00000000	5.00000000	17.00000000	6.00000000	57.00000000	11.00000000	37.26716700	137.63983300	13.82000000	1.40000000
13286.50894676	-1.15191731	109.07109400	3698.84735925	2006.00000000	5.00000000	18.00000000	12.00000000	12.00000000	53.00000000	37.62600000	137.30400000	7.79000000	0.90000000
13286.78100694	-1.95476876	382.10823000	1203.94128028	2006.00000000	5.00000000	18.00000000	18.00000000	44.00000000	39.00000000	37.04750000	136.23150000	8.52000000	0.80000000
13290.65313657	-0.42760567	615.46460100	3049.80744071	2006.00000000	5.00000000	22.00000000	15.00000000	40.00000000	31.00000000	37.01800000	136.55066700	14.09000000	1.10000000
13292.20806713	-0.86393798	144.38972700	5021.21088117	2006.00000000	5.00000000	24.00000000	4.00000000	59.00000000	37.00000000	37.27016700	137.52283300	9.99000000	1.40000000
13293.96859954	2.17293492	-705.99233600	-9605.86752224	2006.00000000	5.00000000	25.00000000	23.00000000	14.00000000	47.00000000	37.04316700	136.23233300	13.16000000	1.70000000
13294.59219907	-2.32128791	234.51503700	3662.16864085	2006.00000000	5.00000000	26.00000000	14.00000000	12.00000000	46.00000000	37.22850000	137.02516700	15.24000000	0.20000000
13295.07611111	2.94087979	-1269.71123000	-2213.96640052	2006.00000000	5.00000000	27.00000000	1.00000000	49.00000000	36.00000000	37.69900000	137.36950000	15.01000000	1.60000000
13297.25364583	-2.15548163	-802.13983400	6982.40423858	2006.00000000	5.00000000	29.00000000	6.00000000	5.00000000	15.00000000	37.26600000	137.18400000	16.43000000	1.20000000
13297.95025463	0.98611103	493.30246100	-7458.20760174	2006.00000000	5.00000000	29.00000000	22.00000000	48.00000000	22.00000000	37.47716700	137.26600000	10.41000000	0.30000000
13299.15531250	2.64417382	-829.46482500	-4043.55456094	2006.00000000	5.00000000	31.00000000	3.00000000	43.00000000	39.00000000	37.93100000	137.72133300	13.16000000	1.30000000
13299.89630787	0.04363323	630.49520800	-241.46736006	2006.00000000	5.00000000	31.00000000	21.00000000	30.00000000	41.00000000	37.70883300	137.39166700	14.28000000	1.40000000
13306.06516204	-2.20784150	-450.32804600	3897.59615921	2006.00000000	6.00000000	7.00000000	1.00000000	33.00000000	50.00000000	37.30716700	137.06333300	7.45000000	0.50000000
13307.88357639	1.67551608	-157.92433500	-9187.13567813	2006.00000000	6.00000000	8.00000000	21.00000000	12.00000000	21.00000000	36.97500000	137.74183300	2.59000000	1.50000000
13310.10015046	-3.01069296	-1276.03455000	1533.86640036	2006.00000000	6.00000000	11.00000000	2.00000000	24.00000000	13.00000000	37.40200000	137.33866700	5.53000000	1.40000000
13310.71980324	-0.74176493	872.09189500	4167.91895915	2006.00000000	6.00000000	11.00000000	17.00000000	16.00000000	31.00000000	37.66833300	137.37750000	11.30000000	0.60000000
13310.90016204	1.11701072	436.05245600	-9881.53487799	2006.00000000	6.00000000	11.00000000	21.00000000	36.00000000	14.00000000	37.07283300	136.20200000	8.89000000	1.20000000
13311.90682870	0.91629786	632.24272500	-8549.18927826	2006.00000000	6.00000000	12.00000000	21.00000000	45.00000000	50.00000000	37.28566700	137.17516700	16.53000000	-0.10000000
13312.06478009	2.42600766	-999.76582200	-7691.42831843	2006.00000000	6.00000000	13.00000000	1.00000000	33.00000000	17.00000000	37.29483300	137.07733300	5.86000000	0.50000000
13313.25947917	-2.35619449	-968.50986500	6557.45063866	2006.00000000	6.00000000	14.00000000	6.00000000	13.00000000	39.00000000	37.66916700	136.85550000	13.26000000	1.40000000
13317.64887731	0.52359878	503.24190800	-2457.39071950	2006.00000000	6.00000000	18.00000000	15.00000000	34.00000000	23.00000000	37.32566700	137.42983300	6.54000000	0.10000000
13321.25320602	-0.59341195	178.62544500	2834.73551942	2006.00000000	6.00000000	22.00000000	6.00000000	4.00000000	37.00000000	37.47633300	137.45533300	10.39000000	0.80000000
13321.83829861	1.27409035	232.76405000	-9327.71495810	2006.00000000	6.00000000	22.00000000	20.00000000	7.00000000	9.00000000	37.01550000	137.16600000	13.42000000	0.70000000
13322.34953704	0.00000000	320.69072500	12.01056000	2006.00000000	6.00000000	23.00000000	8.00000000	23.00000000	20.00000000	37.70683300	137.37566700	12.88000000	1.40000000
13322.71637731	-0.14835299	937.22356700	1136.38464026	2006.00000000	6.00000000	23.00000000	17.00000000	11.00000000	35.00000000	37.05316700	137.07483300	10.24000000	0.80000000
13323.63063657	-1.64933614	520.05299600	4658.99087905	2006.00000000	6.00000000	24.00000000	15.00000000	8.00000000	7.00000000	37.68716700	137.30250000	12.17000000	0.90000000
13324.45997685	1.19555054	299.76277000	-1356.46848032	2006.00000000	6.00000000	25.00000000	11.00000000	2.00000000	22.00000000	37.65083300	137.37316700	12.28000000	0.90000000
13325.35238426	-0.75921822	152.60560700	4418.79671910	2006.00000000	6.00000000	26.00000000	8.00000000	27.00000000	26.00000000	37.55150000	137.23816700	4.53000000	1.10000000
13330.32476852	-2.14675498	-401.98397300	4576.99632107	2006.00000000	7.00000000	1.00000000	7.00000000	47.00000000	40.00000000	37.61166700	137.34866700	13.91000000	1.20000000
13330.58905093	0.69813170	330.00299500	-1747.25471964	2006.00000000	7.00000000	1.00000000	14.00000000	8.00000000	14.00000000	37.65416700	137.39133300	14.25000000	1.00000000
13332.31133102	-2.70526034	-283.65540600	1625.10456038	2006.00000000	7.00000000	3.00000000	7.00000000	28.00000000	19.00000000	37.16500000	136.43416700	0.78000000	1.50000000
13337.66694444	-0.55850536	840.50990300	2834.56031942	2006.00000000	7.00000000	8.00000000	16.00000000	0.00000000	24.00000000	37.17283300	137.84083300	19.88000000	1.50000000
13338.77206019	0.20071286	988.54360400	-2069.36112048	2006.00000000	7.00000000	9.00000000	18.00000000	31.00000000	46.00000000	37.25566700	137.18666700	15.45000000	0.40000000
13338.77937500	0.27925268	969.43447700	-2822.56752066	2006.00000000	7.00000000	9.00000000	18.00000000	42.00000000	18.00000000	37.36350000	137.09883300	12.69000000	1.00000000
13341.99357639	1.43116999	97.01874890	-11042.89898175	2006.00000000	7.00000000	12.00000000	23.00000000	50.00000000	45.00000000	37.66433300	137.39650000	12.58000000	1.10000000
13342.77386574	-1.43116999	459.84380000	5280.50207892	2006.00000000	7.00000000	13.00000000	18.00000000	34.00000000	22.00000000	37.20983300	137.05266700	14.88000000	0.30000000
13343.04327546	1.61442956	-102.76088400	-9823.72031800	2006.00000000	7.00000000	14.00000000	1.00000000	2.00000000	19.00000000	37.67000000	137.45016700	12.71000000	1.10000000
13344.25826389	-2.67908040	-735.39765700	3676.46375925	2006.00000000	7.00000000	15.00000000	6.00000000	11.00000000	54.00000000	37.88300000	137.67050000	14.35000000	1.50000000
13344.56480324	0.82903139	406.01386100	-3669.13943925	2006.00000000	7.00000000	15.00000000	13.00000000	33.00000000	19.00000000	37.14533300	137.67966700	13.36000000	1.70000000
13347.05059028	-0.97738438	-94.75628940	2125.76474357	2006.00000000	7.00000000	18.00000000	1.00000000	12.00000000	51.00000000	37.66050000	137.40000000	11.00000000	1.40000000
13352.38844907	0.20943951	335.30730800	-466.36200011	2006.00000000	7.00000000	23.00000000	9.00000000	19.00000000	22.00000000	37.60466700	137.29466700	10.72000000	1.30000000
13353.59230324	-2.48709418	202.53669400	2493.78048058	2006.00000000	7.00000000	24.00000000	14.00000000	12.00000000	55.00000000	37.19433300	137.71900000	16.44000000	1.00000000
13356.20726852	-2.44346095	-795.07503500	5250.96264122	2006.00000000	7.00000000	27.00000000	4.00000000	58.00000000	28.00000000	37.51016700	137.21483300	9.43000000	1.80000000
13356.44952546	0.27925268	365.19540700	-1202.98656028	2006.00000000	7.00000000	27.00000000	10.00000000	47.00000000	19.00000000	37.08833300	136.42433300	0.00000000	0.60000000
13356.59063657	2.65290046	-13.07594190	-1719.31308040	2006.00000000	7.00000000	27.00000000	14.00000000	10.00000000	31.00000000	37.16416700	136.81933300	9.32000000	0.30000000
13357.67564815	-2.90597320	-94.72703940	1091.98370378	2006.00000000	7.00000000	28.00000000	16.00000000	12.00000000	56.00000000	37.16333300	136.82050000	10.17000000	1.00000000
13358.80922454	-1.50970980	122.97431400	3703.33944086	2006.00000000	7.00000000	29.00000000	19.00000000	25.00000000	17.00000000	37.19833300	137.11116700	15.78000000	0.40000000
