# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13149.04209491	-0.59341195	44.72000000	688.79999986	2006.00000000	1.00000000	1.00000000	1.00000000	0.00000000	37.00000000	37.39216700	137.65600000	15.88000000	0.80000000
13149.09769676	0.15707963	59.11000000	-273.59999994	2006.00000000	1.00000000	1.00000000	2.00000000	20.00000000	41.00000000	37.43116700	136.60883300	8.18000000	0.60000000
13152.60768519	-1.29154365	34.86000000	1488.00000035	2006.00000000	1.00000000	4.00000000	14.00000000	35.00000000	4.00000000	36.90433300	137.54916700	12.28000000	1.10000000
13154.63571759	-1.98094870	-0.26000000	571.20000013	2006.00000000	1.00000000	6.00000000	15.00000000	15.00000000	26.00000000	37.67316700	137.41616700	11.83000000	2.90000000
13160.30896991	-2.69653369	-202.32000000	912.00000021	2006.00000000	1.00000000	12.00000000	7.00000000	24.00000000	55.00000000	37.39250000	137.72316700	18.59000000	1.60000000
13161.13885417	1.23918377	-44.20800000	-1500.96000035	2006.00000000	1.00000000	13.00000000	3.00000000	19.00000000	57.00000000	38.09116700	136.36900000	0.00000000	3.80000000
13165.18797454	0.68067841	58.50000000	-976.80000023	2006.00000000	1.00000000	17.00000000	4.00000000	30.00000000	41.00000000	37.47766700	137.43033300	10.41000000	1.50000000
13168.12493056	-1.16064395	25.20000000	1116.00000026	2006.00000000	1.00000000	20.00000000	2.00000000	59.00000000	54.00000000	37.23900000	137.11033300	15.25000000	0.80000000
13173.53012731	0.33161256	169.80000000	-480.00000011	2006.00000000	1.00000000	25.00000000	12.00000000	43.00000000	23.00000000	37.64533300	137.30883300	9.01000000	1.10000000
13173.88194444	-1.07337749	-20.09000000	302.39999994	2006.00000000	1.00000000	25.00000000	21.00000000	10.00000000	0.00000000	37.47733300	137.45350000	9.25000000	1.20000000
13178.64871528	0.26179939	227.00000000	-719.99999985	2006.00000000	1.00000000	30.00000000	15.00000000	34.00000000	9.00000000	37.11633300	137.49200000	16.03000000	1.20000000
13180.07833333	-0.95120444	91.97000000	1639.19999967	2006.00000000	2.00000000	1.00000000	1.00000000	52.00000000	48.00000000	37.44500000	137.49350000	9.60000000	1.70000000
13181.74524306	0.71558499	91.39000000	-1159.20000027	2006.00000000	2.00000000	2.00000000	17.00000000	53.00000000	9.00000000	37.43850000	136.60300000	6.28000000	1.70000000
13184.58167824	2.80125345	18.50000000	-127.20000003	2006.00000000	2.00000000	5.00000000	13.00000000	57.00000000	37.00000000	38.05750000	136.40800000	0.00000000	2.00000000
13186.45892361	-0.18325957	131.10000000	288.00000007	2006.00000000	2.00000000	7.00000000	11.00000000	0.00000000	51.00000000	37.70300000	137.39683300	7.59000000	1.20000000
13188.75723380	2.55690735	-50.92000000	-748.79999985	2006.00000000	2.00000000	9.00000000	18.00000000	10.00000000	25.00000000	36.97116700	137.01266700	10.90000000	1.10000000
13190.12151620	1.04719755	-2.97000000	-1346.40000031	2006.00000000	2.00000000	11.00000000	2.00000000	54.00000000	59.00000000	37.64383300	137.36833300	11.53000000	1.60000000
13195.54306713	-1.36135682	16.80000000	1646.39999966	2006.00000000	2.00000000	16.00000000	13.00000000	2.00000000	1.00000000	37.68300000	137.40916700	11.83000000	1.10000000
13199.33178241	0.60213859	90.09000000	-352.80000008	2006.00000000	2.00000000	20.00000000	7.00000000	57.00000000	46.00000000	37.40116700	137.04633300	11.55000000	0.30000000
13200.63369213	1.16937060	21.83000000	-182.39999996	2006.00000000	2.00000000	21.00000000	15.00000000	12.00000000	31.00000000	37.23083300	137.05500000	16.75000000	0.70000000
13203.60922454	1.08210414	118.50000000	-1440.00000034	2006.00000000	2.00000000	24.00000000	14.00000000	37.00000000	17.00000000	37.41766700	136.47033300	0.00000000	1.60000000
13204.21724537	2.83616003	-200.48000000	-566.40000013	2006.00000000	2.00000000	25.00000000	5.00000000	12.00000000	50.00000000	37.37283300	137.51250000	0.00000000	1.00000000
13206.75587963	2.11184839	-66.78000000	-2020.79999959	2006.00000000	2.00000000	27.00000000	18.00000000	8.00000000	28.00000000	37.28716700	137.22066700	15.22000000	0.90000000
13211.40230324	2.40855437	-24.26000000	-878.40000020	2006.00000000	3.00000000	4.00000000	9.00000000	39.00000000	19.00000000	37.56016700	136.78666700	1.25000000	1.20000000
13215.42478009	-0.37524579	101.56000000	443.99999991	2006.00000000	3.00000000	8.00000000	10.00000000	11.00000000	41.00000000	37.38933300	136.32766700	3.49000000	1.70000000
13217.21758102	2.99323967	-149.48000000	-213.60000005	2006.00000000	3.00000000	10.00000000	5.00000000	13.00000000	19.00000000	37.20983300	137.07316700	12.80000000	0.60000000
13217.66457176	1.64933614	23.62000000	-1399.20000033	2006.00000000	3.00000000	10.00000000	15.00000000	56.00000000	59.00000000	37.51733300	137.29350000	8.23000000	0.20000000
13220.54432870	-0.29670597	149.60000000	576.00000013	2006.00000000	3.00000000	13.00000000	13.00000000	3.00000000	50.00000000	37.43783300	137.47616700	8.61000000	1.70000000
13223.67741898	0.85521133	68.16000000	-1425.59999971	2006.00000000	3.00000000	16.00000000	16.00000000	15.00000000	29.00000000	37.67150000	137.42450000	12.00000000	1.30000000
13225.12575231	-0.33161256	179.12000000	674.40000016	2006.00000000	3.00000000	18.00000000	3.00000000	1.00000000	5.00000000	37.70150000	137.38383300	7.42000000	1.50000000
13225.70685185	0.88139127	36.14800000	-1254.96000029	2006.00000000	3.00000000	18.00000000	16.00000000	57.00000000	52.00000000	37.28500000	137.18400000	14.55000000	1.00000000
13229.00827546	-2.91469985	-141.60000000	285.59999994	2006.00000000	3.00000000	22.00000000	0.00000000	11.00000000	55.00000000	37.17850000	137.76083300	16.91000000	1.40000000
13230.15288194	-2.27765467	-86.84000000	703.20000016	2006.00000000	3.00000000	23.00000000	3.00000000	40.00000000	9.00000000	37.30200000	137.22666700	5.06000000	0.50000000
13233.03078704	0.47123890	70.92000000	-729.60000017	2006.00000000	3.00000000	26.00000000	0.00000000	44.00000000	20.00000000	37.01800000	136.89083300	12.85000000	3.90000000
13234.80372685	-2.98451302	-174.25000000	424.79999991	2006.00000000	3.00000000	27.00000000	19.00000000	17.00000000	22.00000000	37.40050000	137.34033300	4.06000000	1.30000000
13245.76233796	-2.84488668	-69.48000000	268.80000006	2006.00000000	4.00000000	7.00000000	18.00000000	17.00000000	46.00000000	37.69550000	137.36466700	8.52000000	1.30000000
13248.07070602	0.67195176	97.65000000	-1017.59999979	2006.00000000	4.00000000	10.00000000	1.00000000	41.00000000	49.00000000	37.68050000	137.38766700	12.35000000	1.50000000
13248.45771991	-0.82903139	70.94000000	1207.20000028	2006.00000000	4.00000000	10.00000000	10.00000000	59.00000000	7.00000000	37.70266700	137.40483300	12.48000000	1.10000000
13257.28712963	0.34033920	116.70000000	-360.00000008	2006.00000000	4.00000000	19.00000000	6.00000000	53.00000000	28.00000000	37.40933300	136.91366700	11.54000000	3.20000000
13258.31859954	0.00000000	102.50000000	52.79999999	2006.00000000	4.00000000	20.00000000	7.00000000	38.00000000	47.00000000	37.26050000	137.30900000	5.38000000	1.20000000
13261.49466435	0.41887902	114.30000000	-624.00000015	2006.00000000	4.00000000	23.00000000	11.00000000	52.00000000	19.00000000	37.59033300	137.15100000	7.06000000	0.70000000
13265.61290509	0.75049158	51.69000000	-1415.99999971	2006.00000000	4.00000000	27.00000000	14.00000000	42.00000000	35.00000000	37.67516700	137.37050000	14.14000000	1.10000000
13266.90901620	-2.28638132	-175.58000000	2066.39999958	2006.00000000	4.00000000	28.00000000	21.00000000	48.00000000	59.00000000	37.61950000	137.12966700	0.00000000	0.80000000
13268.33515046	2.18166156	-17.14000000	-1336.80000031	2006.00000000	4.00000000	30.00000000	8.00000000	2.00000000	37.00000000	37.50883300	137.83416700	19.51000000	1.60000000
13272.05380787	-2.49582083	-89.58000000	573.59999988	2006.00000000	5.00000000	4.00000000	1.00000000	17.00000000	29.00000000	37.13250000	137.44116700	16.30000000	3.90000000
13272.31055556	0.00000000	89.61000000	40.80000001	2006.00000000	5.00000000	4.00000000	7.00000000	27.00000000	12.00000000	37.61183300	137.29633300	11.99000000	1.30000000
13274.39998843	-0.13962634	77.58000000	175.19999996	2006.00000000	5.00000000	6.00000000	9.00000000	35.00000000	59.00000000	37.60900000	137.28166700	11.76000000	0.80000000
13275.72089120	-2.98451302	-97.88000000	239.99999995	2006.00000000	5.00000000	7.00000000	17.00000000	18.00000000	5.00000000	37.23533300	137.12616700	15.92000000	1.40000000
13276.06398148	1.11701072	51.05000000	-1082.40000025	2006.00000000	5.00000000	8.00000000	1.00000000	32.00000000	8.00000000	37.70966700	137.38716700	14.94000000	2.00000000
13276.84582176	-1.71042267	-12.01000000	1543.19999969	2006.00000000	5.00000000	8.00000000	20.00000000	17.00000000	59.00000000	37.85566700	137.22683300	11.32000000	1.40000000
13277.59899306	1.38753676	-15.79900000	-1338.48000031	2006.00000000	5.00000000	9.00000000	14.00000000	22.00000000	33.00000000	37.52900000	137.19550000	6.79000000	0.60000000
13279.56457176	0.47996554	43.95000000	-712.80000017	2006.00000000	5.00000000	11.00000000	13.00000000	32.00000000	59.00000000	37.37800000	136.68650000	11.90000000	0.40000000
13280.38078704	-2.43473431	-87.07000000	763.19999984	2006.00000000	5.00000000	12.00000000	9.00000000	8.00000000	20.00000000	37.51983300	137.18666700	2.52000000	1.10000000
13280.49997685	-0.57595865	36.59000000	679.20000016	2006.00000000	5.00000000	12.00000000	11.00000000	59.00000000	58.00000000	37.52333300	137.20600000	10.27000000	1.10000000
13281.62791667	0.83775804	6.44000000	-1264.79999974	2006.00000000	5.00000000	13.00000000	15.00000000	4.00000000	12.00000000	37.70666700	137.39233300	13.66000000	1.70000000
13283.88464120	-3.01069296	-228.56000000	340.79999993	2006.00000000	5.00000000	15.00000000	21.00000000	13.00000000	53.00000000	37.69566700	137.40116700	12.09000000	0.90000000
13285.28971065	1.00356432	113.00000000	-1127.99999977	2006.00000000	5.00000000	17.00000000	6.00000000	57.00000000	11.00000000	37.26716700	137.63983300	13.82000000	1.40000000
13286.50894676	3.00196631	-40.77800000	-106.07999998	2006.00000000	5.00000000	18.00000000	12.00000000	12.00000000	53.00000000	37.62600000	137.30400000	7.79000000	0.90000000
13286.78100694	0.69813170	4.94000000	-540.00000013	2006.00000000	5.00000000	18.00000000	18.00000000	44.00000000	39.00000000	37.04750000	136.23150000	8.52000000	0.80000000
13290.65313657	2.84488668	-147.26000000	-463.20000011	2006.00000000	5.00000000	22.00000000	15.00000000	40.00000000	31.00000000	37.01800000	136.55066700	14.09000000	1.10000000
13292.20806713	2.46091425	-58.19000000	-1072.80000025	2006.00000000	5.00000000	24.00000000	4.00000000	59.00000000	37.00000000	37.27016700	137.52283300	9.99000000	1.40000000
13293.96859954	-0.96865773	138.80000000	2208.00000051	2006.00000000	5.00000000	25.00000000	23.00000000	14.00000000	47.00000000	37.04316700	136.23233300	13.16000000	1.70000000
13294.59219907	0.68067841	22.14000000	-1144.80000027	2006.00000000	5.00000000	26.00000000	14.00000000	12.00000000	46.00000000	37.22850000	137.02516700	15.24000000	0.20000000
13295.07611111	-0.08726646	240.70000000	288.00000007	2006.00000000	5.00000000	27.00000000	1.00000000	49.00000000	36.00000000	37.69900000	137.36950000	15.01000000	1.60000000
13297.25364583	1.30027029	96.36000000	-1624.79999967	2006.00000000	5.00000000	29.00000000	6.00000000	5.00000000	15.00000000	37.26600000	137.18400000	16.43000000	1.20000000
13297.95025463	-2.33874120	-157.10000000	1490.40000035	2006.00000000	5.00000000	29.00000000	22.00000000	48.00000000	22.00000000	37.47716700	137.26600000	10.41000000	0.30000000
13299.15531250	-0.47996554	132.80000000	816.00000019	2006.00000000	5.00000000	31.00000000	3.00000000	43.00000000	39.00000000	37.93100000	137.72133300	13.16000000	1.30000000
13299.89630787	2.74016693	-135.65000000	-463.20000011	2006.00000000	5.00000000	31.00000000	21.00000000	30.00000000	41.00000000	37.70883300	137.39166700	14.28000000	1.40000000
13306.06516204	1.06465084	90.97000000	-1123.19999977	2006.00000000	6.00000000	7.00000000	1.00000000	33.00000000	50.00000000	37.30716700	137.06333300	7.45000000	0.50000000
13307.88357639	-1.50098316	19.20000000	2087.99999957	2006.00000000	6.00000000	8.00000000	21.00000000	12.00000000	21.00000000	36.97500000	137.74183300	2.59000000	1.50000000
13310.10015046	0.20071286	233.90000000	-456.00000011	2006.00000000	6.00000000	11.00000000	2.00000000	24.00000000	13.00000000	37.40200000	137.33866700	5.53000000	1.40000000
13310.71980324	2.16420827	-172.19000000	-1531.19999969	2006.00000000	6.00000000	11.00000000	17.00000000	16.00000000	31.00000000	37.66833300	137.37750000	11.30000000	0.60000000
13310.90016204	-2.14675498	-149.13000000	2075.99999958	2006.00000000	6.00000000	11.00000000	21.00000000	36.00000000	14.00000000	37.07283300	136.20200000	8.89000000	1.20000000
13311.90682870	-2.38237443	-190.57000000	1720.79999965	2006.00000000	6.00000000	12.00000000	21.00000000	45.00000000	50.00000000	37.28566700	137.17516700	16.53000000	-0.10000000
13312.06478009	-0.70685835	159.80000000	1631.99999967	2006.00000000	6.00000000	13.00000000	1.00000000	33.00000000	17.00000000	37.29483300	137.07733300	5.86000000	0.50000000
13313.25947917	1.09955743	126.20000000	-1487.99999970	2006.00000000	6.00000000	14.00000000	6.00000000	13.00000000	39.00000000	37.66916700	136.85550000	13.26000000	1.40000000
13317.64887731	-2.26020138	-78.87000000	1019.99999979	2006.00000000	6.00000000	18.00000000	15.00000000	34.00000000	23.00000000	37.32566700	137.42983300	6.54000000	0.10000000
13321.25320602	3.00196631	-56.84300000	-199.43999996	2006.00000000	6.00000000	22.00000000	6.00000000	4.00000000	37.00000000	37.47633300	137.45533300	10.39000000	0.80000000
13321.83829861	-1.92858882	-86.20000000	2042.39999958	2006.00000000	6.00000000	22.00000000	20.00000000	7.00000000	9.00000000	37.01550000	137.16600000	13.42000000	0.70000000
13322.34953704	-2.29510797	-54.46000000	638.40000015	2006.00000000	6.00000000	23.00000000	8.00000000	23.00000000	20.00000000	37.70683300	137.37566700	12.88000000	1.40000000
13322.71637731	2.69653369	-214.18000000	-765.60000018	2006.00000000	6.00000000	23.00000000	17.00000000	11.00000000	35.00000000	37.05316700	137.07483300	10.24000000	0.80000000
13323.63063657	1.27409035	-49.57000000	-1576.55999968	2006.00000000	6.00000000	24.00000000	15.00000000	8.00000000	7.00000000	37.68716700	137.30250000	12.17000000	0.90000000
13324.45997685	-1.46607657	-13.31000000	991.20000023	2006.00000000	6.00000000	25.00000000	11.00000000	2.00000000	22.00000000	37.65083300	137.37316700	12.28000000	0.90000000
13325.35238426	2.94087979	-79.12000000	-375.35999992	2006.00000000	6.00000000	26.00000000	8.00000000	27.00000000	26.00000000	37.55150000	137.23816700	4.53000000	1.10000000
13330.32476852	1.20427718	46.99000000	-1084.80000025	2006.00000000	7.00000000	1.00000000	7.00000000	47.00000000	40.00000000	37.61166700	137.34866700	13.91000000	1.20000000
13330.58905093	-1.93731547	-40.89000000	907.19999982	2006.00000000	7.00000000	1.00000000	14.00000000	8.00000000	14.00000000	37.65416700	137.39133300	14.25000000	1.00000000
13332.31133102	0.43633231	43.04000000	-333.60000008	2006.00000000	7.00000000	3.00000000	7.00000000	28.00000000	19.00000000	37.16500000	136.43416700	0.78000000	1.50000000
13337.66694444	2.33874120	-170.19000000	-1094.39999978	2006.00000000	7.00000000	8.00000000	16.00000000	0.00000000	24.00000000	37.17283300	137.84083300	19.88000000	1.50000000
13338.77206019	3.14159265	-240.20000000	-4.80000000	2006.00000000	7.00000000	9.00000000	18.00000000	31.00000000	46.00000000	37.25566700	137.18666700	15.45000000	0.40000000
13338.77937500	-3.09795942	-239.70000000	163.20000004	2006.00000000	7.00000000	9.00000000	18.00000000	42.00000000	18.00000000	37.36350000	137.09883300	12.69000000	1.00000000
13341.99357639	-1.79768913	-62.12000000	2363.99999952	2006.00000000	7.00000000	12.00000000	23.00000000	50.00000000	45.00000000	37.66433300	137.39650000	12.58000000	1.10000000
13342.77386574	1.59697627	-40.11000000	-1823.99999963	2006.00000000	7.00000000	13.00000000	18.00000000	34.00000000	22.00000000	37.20983300	137.05266700	14.88000000	0.30000000
13343.04327546	-1.54461639	-7.35800000	2127.35999957	2006.00000000	7.00000000	14.00000000	1.00000000	2.00000000	19.00000000	37.67000000	137.45016700	12.71000000	1.10000000
13344.25826389	0.67195176	111.70000000	-1103.99999978	2006.00000000	7.00000000	15.00000000	6.00000000	11.00000000	54.00000000	37.88300000	137.67050000	14.35000000	1.50000000
